"","trimestre","instrucao","setor","rendimento_medio_nominal"
"180","2020/2T","Superior incompleto ou equivalente","Outros Serviços",1955.08
"181","2020/2T","Superior completo","Outros Serviços",3494.82
"182","2020/2T","Sem instrução e menos de 1 ano de estudo","Atividades mal definidas",1000
"183","2020/2T","Fundamental incompleto ou equivalente","Atividades mal definidas",888.05
"184","2020/2T","Fundamental completo ou equivalente","Atividades mal definidas",1178.08
"185","2020/2T","Médio incompleto ou equivalente","Atividades mal definidas",980
"186","2020/2T","Médio completo ou equivalente","Atividades mal definidas",2648.31
"187","2020/2T","Superior incompleto ou equivalente","Atividades mal definidas",1700
"188","2020/2T","Superior completo","Atividades mal definidas",2496.19
"189","2020/3T","Sem instrução e menos de 1 ano de estudo","Agricultura, pecuária, produção florestal, pesca e aquicultura",705.44
"190","2020/3T","Fundamental incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1158.4
"191","2020/3T","Fundamental completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1649.54
"192","2020/3T","Médio incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1373.18
"193","2020/3T","Médio completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1766.34
"194","2020/3T","Superior incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",3044.72
"195","2020/3T","Superior completo","Agricultura, pecuária, produção florestal, pesca e aquicultura",6012.29
"196","2020/3T","Sem instrução e menos de 1 ano de estudo","Indústria geral",1097.14
"197","2020/3T","Fundamental incompleto ou equivalente","Indústria geral",1397.11
"198","2020/3T","Fundamental completo ou equivalente","Indústria geral",1551.07
"199","2020/3T","Médio incompleto ou equivalente","Indústria geral",1509.08
"200","2020/3T","Médio completo ou equivalente","Indústria geral",1973.63
"201","2020/3T","Superior incompleto ou equivalente","Indústria geral",2827.11
"202","2020/3T","Superior completo","Indústria geral",6464.74
"203","2020/3T","Sem instrução e menos de 1 ano de estudo","Construção",1220.53
"204","2020/3T","Fundamental incompleto ou equivalente","Construção",1374.29
"205","2020/3T","Fundamental completo ou equivalente","Construção",1519.22
"206","2020/3T","Médio incompleto ou equivalente","Construção",1532.57
"207","2020/3T","Médio completo ou equivalente","Construção",1804.66
"208","2020/3T","Superior incompleto ou equivalente","Construção",2175.65
"209","2020/3T","Superior completo","Construção",6455.87
"210","2020/3T","Sem instrução e menos de 1 ano de estudo","Comércio, reparação de veículos automotores e motocicletas",1087.62
"211","2020/3T","Fundamental incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1446.13
"212","2020/3T","Fundamental completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1807.46
"213","2020/3T","Médio incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1463.63
"214","2020/3T","Médio completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1763.51
